"","expert","HZ","p_cm","p_cm_val","expert_date","horizon_end_date","horizon_start_date","delay","total_horizon","month","type","reported_cases","institution","last.in.field","experience.ide","score_bri","score_log"
"117",15,"OICHA",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"118",15,"OICHA",">=2",0.5,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago","<5 years",0.5,-0.693147180759945
"119",15,"OICHA",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"120",15,"OICHA",">=6",0.1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.1,-0.105360515546715
"121",7,"BENI",">=10",0.052,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,NA,NA,NA,0.052,-0.0534007766216301
"122",7,"BENI",">=10",0.045,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model_adj",0,NA,NA,NA,0.045,-0.0460439383966948
"123",12,"BENI",">=10",0.052,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,NA,NA,NA,0.052,-0.0534007766216301
"124",12,"BENI",">=10",0.045,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model_adj",0,NA,NA,NA,0.045,-0.0460439383966948
"125",15,"BENI",">=10",0.052,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,NA,NA,NA,0.052,-0.0534007766216301
"126",15,"BENI",">=10",0.045,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model_adj",0,NA,NA,NA,0.045,-0.0460439383966948
"127",7,"BENI",">=2",0.524,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,NA,NA,NA,0.476,-0.646263594851935
"128",7,"BENI",">=2",0.47,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model_adj",1,NA,NA,NA,0.53,-0.755022584490799
"129",12,"BENI",">=2",0.524,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,NA,NA,NA,0.476,-0.646263594851935
"130",12,"BENI",">=2",0.47,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model_adj",1,NA,NA,NA,0.53,-0.755022584490799
"131",15,"BENI",">=2",0.524,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,NA,NA,NA,0.476,-0.646263594851935
"132",15,"BENI",">=2",0.47,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model_adj",1,NA,NA,NA,0.53,-0.755022584490799
"133",7,"BENI",">=20",0.003,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,NA,NA,NA,0.003,-0.00300450891999781
"134",7,"BENI",">=20",0.003,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model_adj",0,NA,NA,NA,0.003,-0.00300450891999781
"135",12,"BENI",">=20",0.003,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,NA,NA,NA,0.003,-0.00300450891999781
"136",12,"BENI",">=20",0.003,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model_adj",0,NA,NA,NA,0.003,-0.00300450891999781
"137",15,"BENI",">=20",0.003,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,NA,NA,NA,0.003,-0.00300450891999781
"138",15,"BENI",">=20",0.003,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model_adj",0,NA,NA,NA,0.003,-0.00300450891999781
"139",7,"BENI",">=6",0.177,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,NA,NA,NA,0.823,-1.73160554697328
"140",7,"BENI",">=6",0.151,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model_adj",1,NA,NA,NA,0.849,-1.89047544282946
"141",12,"BENI",">=6",0.177,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,NA,NA,NA,0.823,-1.73160554697328
"142",12,"BENI",">=6",0.151,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model_adj",1,NA,NA,NA,0.849,-1.89047544282946
"143",15,"BENI",">=6",0.177,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,NA,NA,NA,0.823,-1.73160554697328
"144",15,"BENI",">=6",0.151,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model_adj",1,NA,NA,NA,0.849,-1.89047544282946
"145",7,"GOMA",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,NA,NA,NA,0,-1.00000008279037e-10
"146",7,"GOMA",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model_adj",0,NA,NA,NA,0,-1.00000008279037e-10
"147",12,"GOMA",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,NA,NA,NA,0,-1.00000008279037e-10
"148",12,"GOMA",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model_adj",0,NA,NA,NA,0,-1.00000008279037e-10
"149",15,"GOMA",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,NA,NA,NA,0,-1.00000008279037e-10
"150",15,"GOMA",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model_adj",0,NA,NA,NA,0,-1.00000008279037e-10
"151",7,"GOMA",">=2",0.002,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,NA,NA,NA,0.002,-0.00200200257047267
"152",7,"GOMA",">=2",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model_adj",0,NA,NA,NA,0,-1.00000008279037e-10
"153",12,"GOMA",">=2",0.002,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,NA,NA,NA,0.002,-0.00200200257047267
